fluorophore,synonym1,synonym2,synonym3,synonym4,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,channel.cytostellar,excitation.laser,nominal.wavelength,is.viability,class
NovaFluor Red 700,NR700,NFR700,Nova Red 700,,R4-A,R4-A,637CH21-A,R3 (700)-A,R717-A,R3-A,FL47-A,R710-A,R3,Red,700,NA,Nova Fluor
NovaFluor Red 710,NR710,NFR710,Nova Red 710,,R4-A,R4-A,637CH23-A,R3 (700)-A,R717-A,R3-A,FL47-A,R710-A,R3,Red,710,NA,Nova Fluor
NovaFluor Red 725,NR725,NFR725,Nova Red 725,,R5-A,R5-A,637CH24-A,R4 (725)-A,R735-A,R4-A,FL43-A,R730-A,R4,Red,725,NA,Nova Fluor
NovaFluor Red 755,NR755,NFR755,Nova Red 755,,R7-A,R7-A,637CH27-A,R5 (750)-A,R784-A,R5-A,FL45-A,R780-A,R5,Red,755,NA,Nova Fluor
NovaFluor UV 765,NUV765,NFUV765,Nova UV 765,,UV15-A,V15-A,355CH28-A,UV19 (750)-A,UV757-A,U15-A,FL01-A,UV736-A,UV19,UV,765,NA,Nova Fluor
NovaFluor Violet 690,NV690,NFV690,Nova Violet 690,,V12-A,V12-A,405CH21-A,V15 (700)-A,V681-A,V13-A,FL21-A,V680-A,V15,Violet,690,NA,Nova Fluor
NovaFluor Violet 745,NV745,NFV745,Nova Violet 745,,V14-A,V14-A,405CH25-A,V17 (750)-A,V735-A,V15-A,FL19-A,V750-A,V17,Violet,745,NA,Nova Fluor
NovaFluor Violet 800,NV800,NFV800,Nova Violet 800,,V16-A,V16-A,405CH32-A,V19 (810)-A,V815-A,V18-A,FL20-A,V845-A,V19,Violet,800,NA,Nova Fluor
NovaFluor Yellow 570,NY570,NFY570,Nova Yellow 570,,YG1-A,B4-A,561CH10-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,570,NA,Nova Fluor
NovaFluor Yellow 590,NY590,NFY590,Nova Yellow 590,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG585-A,YG2,YellowGreen,590,NA,Nova Fluor
NovaFluor Yellow 610,NY610,NFY610,Nova Yellow 610,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,610,NA,Nova Fluor
NovaFluor Yellow 660,NY660,NFY660,Nova Yellow 660,,YG4-A,R2-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG5,YellowGreen,660,NA,Nova Fluor
NovaFluor Yellow 690,NY690,NFY690,Nova Yellow 690,,YG6-A,R3-A,561CH20-A,YG7 (700)-A,Y681-A,Y6-A,FL26-A,YG695-A,YG7,YellowGreen,690,NA,Nova Fluor
NovaFluor Yellow 700,NY700,NFY700,Nova Yellow 700,,YG7-A,B9-A,561CH22-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YG7,YellowGreen,700,NA,Nova Fluor
NovaFluor Yellow 730,NY730,NFY730,Nova Yellow 730,,YG7-A,R5-A,561CH24-A,YG8 (725)-A,Y735-A,Y7-A,FL25-A,YG730-A,YG8,YellowGreen,730,NA,Nova Fluor
NovaFluor Yellow 755,NY755,NFY755,Nova Yellow 755,,YG9-A,R7-A,561CH26-A,YG9 (750)-A,Y757-A,Y8-A,FL28-A,YG750-A,YG9,YellowGreen,755,NA,Nova Fluor
NovaFluor Yellow 810,NY810,NFY810,Nova Yellow 810,,YG10-A,B14-A,561CH30-A,YG11 (810)-A,Y815-A,Y10-A,FL27-A,YG825-A,YG11,YellowGreen,810,NA,Nova Fluor
Pacific Blue,PB,PacBlue,,,V3-A,V3-A,405CH2-A,V3 (460)-A,V455-A,V3-A,FL17-A,V450-A,V3,Violet,455,NA,Small molecule
Pacific Orange,PO,PacOrange,,,V8-A,V8-A,405CH7-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,V8,Violet,551,NA,Small molecule
PE,Phycoerythrin,R-PE,,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,576,NA,Protein
PE-Alexa Fluor 610,PE Alexa Fluor 610,PE-AF610,,,YG3-A,B6-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YG4,YellowGreen,627,NA,Protein tandem
PE-Alexa Fluor 647,PE-Alexa647,PE-Alexa 647,PE Alexa Fluor 647,PE-AF647,YG5-A,B8-A,561CH19-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG670-A,YG5,YellowGreen,666,NA,Protein tandem
PE-Alexa Fluor 680,PE-Alexa680,PE-Alexa 680,PE Alexa Fluor 680,PE-AF680,YG7-A,B9-A,561CH22-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YG7,YellowGreen,702,NA,Protein tandem
PE-Alexa Fluor 700,PE Alexa Fluor 700,PE-AF700,,,YG7-A,B10-A,561CH24-A,YG8 (725)-A,Y717-A,Y7-A,FL25-A,YG730-A,YG8,YellowGreen,719,NA,Protein tandem
